@relation soccer_combined

@attribute x0 numeric
@attribute x1 numeric
@attribute x2 numeric
@attribute x3 numeric
@attribute x4 numeric
@attribute x5 numeric
@attribute x6 numeric
@attribute x7 numeric
@attribute x8 numeric
@attribute x9 numeric
@attribute x10 numeric
@attribute x11 numeric
@attribute x12 numeric
@attribute x13 numeric
@attribute x14 numeric
@attribute x15 numeric
@attribute x16 numeric
@attribute x17 numeric
@attribute x18 numeric
@attribute x19 numeric
@attribute x20 numeric
@attribute x21 numeric
@attribute x22 numeric
@attribute class {home,draw,away}

@data
2.25,2.9,3.6,140.0,45.0,50.0,50.0,45.0,45.0,154.0,64.0,53.0,36.0,31.0,70.0,1.0,1.0,0.0,0.5,1.0,1.0,0.0,0.5,draw
2.1,3.1,3.75,145.0,45.0,50.0,50.0,45.0,50.0,150.0,70.0,30.0,70.0,50.0,70.0,2.4,1.8,0.6,0.8,1.8,2.4,-0.6,0.2,home
4.33,3.3,1.91,170.0,55.0,55.0,70.0,45.0,70.0,156.0,60.0,56.0,70.0,30.0,70.0,1.0,3.0,-2.0,0.0,3.0,1.0,2.0,1.0,away
2.5,3.0,3.1,180.0,57.0,68.0,53.0,44.0,68.0,156.0,67.0,51.0,72.0,66.0,39.0,2.0,1.0,1.0,1.0,1.0,2.0,-1.0,0.0,home
2.4,2.9,3.3,123.0,47.0,49.0,34.0,26.0,48.0,144.0,46.0,52.0,67.0,43.0,49.0,0.4,1.0,-0.6,0.2,0.2,0.4,-0.2,0.4,home
2.1,3.0,4.0,133.0,56.0,33.0,68.0,37.0,63.0,144.0,59.0,52.0,66.0,26.0,66.0,2.0,0.0,2.0,1.0,0.0,2.0,-2.0,0.0,home
2.6,3.1,2.55,147.0,48.0,48.0,48.0,39.0,60.0,164.0,47.0,52.0,42.0,59.0,53.0,3.0,2.0,1.0,1.0,2.0,3.0,-1.0,0.0,home
2.05,3.0,4.2,115.0,50.0,50.0,50.0,25.0,40.0,130.0,70.0,49.0,35.0,36.0,45.0,1.0,0.0,1.0,1.0,0.0,1.0,-1.0,0.0,home
3.2,3.4,2.25,141.0,42.0,43.0,37.0,38.0,60.0,170.0,50.0,50.0,50.0,50.0,70.0,2.0,1.0,1.0,1.0,1.0,2.0,-1.0,0.0,home
2.45,3.4,2.7,143.0,58.0,55.0,44.0,50.0,38.0,108.0,30.0,33.0,67.0,30.0,45.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.5,draw
2.25,2.9,3.6,164.0,59.0,52.0,52.0,46.0,66.0,135.0,45.0,50.0,50.0,35.0,50.0,1.0,1.0,0.0,0.5,1.0,1.0,0.0,0.5,draw
1.57,3.6,6.5,142.0,46.0,49.0,51.0,44.0,49.0,143.0,45.0,48.0,53.0,47.0,48.0,2.0,1.0,1.0,1.0,1.0,2.0,-1.0,0.0,home
1.75,3.5,4.75,135.0,50.0,42.0,47.0,51.0,42.0,164.0,47.0,52.0,42.0,59.0,53.0,3.0,1.0,2.0,1.0,1.0,3.0,-2.0,0.0,home
1.44,4.2,7.5,190.0,45.0,55.0,70.0,70.0,65.0,134.0,45.0,47.0,48.0,46.0,41.0,1.0,0.0,1.0,1.0,0.0,1.0,-1.0,0.0,home
5.25,3.5,1.62,145.0,55.0,50.0,49.0,45.0,50.0,194.0,57.0,65.0,54.0,60.0,69.0,3.0,4.0,-1.0,0.0,4.0,3.0,1.0,1.0,away
2.2,3.25,3.3,135.0,60.0,52.0,37.0,37.0,46.0,132.0,42.0,55.0,49.0,43.0,34.0,0.0,1.0,-1.0,0.0,1.0,0.0,1.0,1.0,away
1.25,5.5,12.0,195.0,70.0,70.0,70.0,60.0,65.0,145.0,46.0,49.0,47.0,46.0,50.0,2.0,1.0,1.0,1.0,1.0,2.0,-1.0,0.0,home
2.5,2.88,3.2,147.0,48.0,57.0,53.0,38.0,52.0,150.0,55.0,50.0,63.0,35.0,65.0,1.0,1.0,0.0,0.5,1.0,1.0,0.0,0.5,draw
